Epoch: 54 | Edge Type: o-o-nobank | Train Loss: 0.6312 | Train AUCROC: 0.5233 | GPU: 0.0MiB
Epoch: 54 | Edge Type: o-n | Train Loss: 0.6801 | Train AUCROC: 0.5011 | GPU: 0.0MiB
Epoch: 54 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 55 | Edge Type: o-o-bank | Train Loss: 0.6801 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 55 | Edge Type: o-o-nobank | Train Loss: 0.6309 | Train AUCROC: 0.4855 | GPU: 0.0MiB
Epoch: 55 | Edge Type: o-n | Train Loss: 0.6796 | Train AUCROC: 0.5027 | GPU: 0.0MiB
Epoch: 55 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 56 | Edge Type: o-o-bank | Train Loss: 0.6793 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 56 | Edge Type: o-o-nobank | Train Loss: 0.6304 | Train AUCROC: 0.5036 | GPU: 0.0MiB
Epoch: 56 | Edge Type: o-n | Train Loss: 0.6795 | Train AUCROC: 0.5014 | GPU: 0.0MiB
Epoch: 56 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 57 | Edge Type: o-o-bank | Train Loss: 0.6785 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 57 | Edge Type: o-o-nobank | Train Loss: 0.6295 | Train AUCROC: 0.5255 | GPU: 0.0MiB
